URL,Type,Subtype,Price,Bedroom,Living_area,Locality,Swimming_pool,Garden_area,Surface_of_land,Terrace,Kitchen
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/10665448,apartment,apartment,275000,2,85.0,2018,False,,,True,installed
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/10665439,house,house,210000,3,180.0,9160,False,,103,True,
https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/10665438,apartment,apartment,297000,3,145.0,2800,False,,,True,
https://www.immoweb.be/en/classified/house/for-sale/menen/8930/10665437,house,house,99000,3,96.0,8930,False,,55,True,
https://www.immoweb.be/en/classified/house/for-sale/menen/8930/10665436,house,house,220000,4,185.0,8930,False,45,123,True,
https://www.immoweb.be/en/classified/house/for-sale/maarkedal/9680/10665435,house,house,549000,3,166.0,9680,False,,519,True,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-andries/8200/10665434,apartment,apartment,220000,2,88.0,8200,False,,,True,
https://www.immoweb.be/en/classified/penthouse/for-sale/braine-l%27alleud/1420/10665433,apartment,penthouse,720000,3,164.0,1420,False,,,True,hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/ieper/8900/10665431,house,house,119000,2,,8900,False,5,0,True,
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/10665428,house,house,495000,4,,8400,False,,0,True,
https://www.immoweb.be/en/classified/house/for-sale/halle/1500/10665426,house,house,259000,3,116.0,1500,False,,80,True,
https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/10665419,apartment,apartment,199000,2,76.0,9400,False,60,,True,installed
https://www.immoweb.be/en/classified/villa/for-sale/anderlues/6150/10665418,house,villa,475000,6,380.0,6150,False,5880,7428,True,semi equipped
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/kraainem/1950/10665409,house,mixed use building,795000,0,290.0,1950,False,60,176,True,
https://www.immoweb.be/en/classified/duplex/for-sale/willebroek/2830/10665406,apartment,duplex,305000,3,140.0,2830,False,,,True,hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/waregem/8790/10665403,house,house,315000,3,165.0,8790,False,,292,True,installed
https://www.immoweb.be/en/classified/house/for-sale/lonzee/5030/10665402,house,house,250000,2,120.0,5030,False,200,427,True,not installed
https://www.immoweb.be/en/classified/exceptional-property/for-sale/uccle/1180/10665398,house,exceptional property,1950000,6,502.0,1180,False,,1100,True,not installed
https://www.immoweb.be/en/classified/apartment/for-sale/ledeberg/9050/10665395,apartment,apartment,245000,2,102.0,9050,False,,,True,installed
https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/10665394,house,house,275000,3,224.0,8800,False,,524,True,installed
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/10665392,house,house,580000,3,164.0,8630,False,538,538,True,installed
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/10665391,house,house,555000,3,156.0,8630,False,,539,True,installed
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/10665390,apartment,apartment,159000,1,36.0,8434,False,,,True,installed
https://www.immoweb.be/en/classified/chalet/for-sale/stekene/9190/10665378,house,chalet,235000,2,139.0,9190,False,,4197,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/rocourt/4000/10665364,house,apartment block,249000,3,200.0,4000,False,,220,True,
